mathisn;Nicolas;Mathis;0611223344;mathis.nicolas@example.com;password123
leap;Petit;Léa;0788991122;lea.petit@example.com;motdepasse
thomasd;Dupont;Thomas;0655667788;thomas.dupont@example.com;azerty
julieb;Bernard;Julie;0622334455;julie.bernard@example.com;test1234
lucasr;Roux;Lucas;0755443322;lucas.roux@example.com;123456
manond;Durand;Manon;0677889900;manon.durand@example.com;hello2024
maximeg;Girard;Maxime;0612345678;maxime.girard@example.com;passw0rd
saral;Lemoine;Sara;0744556677;sara.lemoine@example.com;admin123
alexm;Martin;Alex;0699887766;alex.martin@example.com;azertyui
emmad;Dubois;Emma;0711223344;emma.dubois@example.com;demo2025
